sample_index,ideal_time,recv_time,T7,T8,TP7,TP8,P7,P5,P3,Pz,P4,P6,P8,PO7,PO5,PO3,POz,PO4,PO6,PO8,O1,Oz,O2,raw_trigger,kb_trigger,level_id,state_code
0,0.0,0.0856,-53.64882278442383,-85.79806518554688,82.51961517333984,-66.25850677490234,-94.48311614990234,-84.32164764404297,-87.17041778564453,-49.89179992675781,42.88600540161133,78.04540252685547,85.24751281738281,-88.79945373535156,-20.90871810913086,70.01467895507812,-7.121649742126465,-74.1484603881836,-39.061954498291016,78.89323425292969,10.826854705810547,66.88201141357422,46.45473861694336,0.0,0,1,0
1,0.004,0.0902,-54.93402862548828,79.97698211669922,14.992836952209473,-81.7506103515625,-21.97205352783203,9.843554496765137,-47.011329650878906,-76.68423461914062,14.08559799194336,-60.27491760253906,-40.133270263671875,88.0266342163086,10.515013694763184,-49.35289764404297,-89.33251953125,61.367034912109375,33.94800567626953,62.56403350830078,7.325713634490967,-58.23788070678711,-18.07511329650879,0.0,0,1,0
2,0.008,0.0946,-33.659576416015625,60.53132629394531,83.0755615234375,96.29572296142578,18.831926345825195,-67.28723907470703,46.961517333984375,47.890811920166016,-22.671356201171875,-45.67795181274414,18.824691772460938,-97.2453384399414,84.77971649169922,-46.25239181518555,-32.619346618652344,-94.64678192138672,34.4102668762207,-17.074533462524414,-5.9850592613220215,56.005123138427734,20.880952835083008,0.0,0,1,0
3,0.012,0.099,-51.783409118652344,-45.240821838378906,-73.86382293701172,-92.79869842529297,-64.91375732421875,-54.03956985473633,-89.18016052246094,-84.29377746582031,-50.21297073364258,-52.32897186279297,-16.23606300354004,12.128933906555176,22.21111297607422,-81.40045166015625,-75.29898071289062,48.978515625,86.56564331054688,-15.232213973999023,-87.68034362792969,-35.385414123535156,55.33014678955078,0.0,0,1,0
4,0.016,0.1031,41.25860595703125,-40.56081771850586,-82.95768737792969,46.041297912597656,85.50332641601562,-30.788490295410156,24.196409225463867,-74.82069396972656,-20.653095245361328,39.132713317871094,61.918174743652344,-22.75556755065918,-22.52559471130371,-49.307308197021484,-23.141372680664062,79.09935760498047,80.73607635498047,66.93133544921875,-26.33582305908203,-91.97562408447266,44.177181243896484,0.0,0,1,0
5,0.02,0.108,-48.60298156738281,32.32207107543945,-41.86840057373047,47.844966888427734,-93.99948120117188,56.32671356201172,19.443605422973633,-97.21302795410156,19.620031356811523,-74.87000274658203,91.52222442626953,-16.837717056274414,61.10116958618164,-37.08750915527344,-44.872894287109375,-16.049213409423828,-13.5794038772583,6.180617809295654,-32.184814453125,63.60202407836914,81.15484619140625,0.0,0,1,0
6,0.024,0.1124,31.223201751708984,98.75154113769531,15.13819408416748,-34.172828674316406,17.285991668701172,-81.67971801757812,34.60088348388672,48.26272201538086,-83.29898834228516,25.499113082885742,-1.6227291822433472,-11.550410270690918,1.099193811416626,-45.79277801513672,-45.47803497314453,-98.22881317138672,99.34178161621094,77.4305648803711,-30.68556022644043,-97.11347198486328,79.95215606689453,0.0,0,1,0
7,0.028,0.1166,30.461017608642578,74.49447631835938,88.00889587402344,98.29679107666016,-15.634902954101562,-26.211246490478516,-10.46798324584961,-78.57386016845703,-31.7160587310791,-73.93004608154297,85.19152069091797,69.75524139404297,-67.75666046142578,11.52525520324707,71.10165405273438,-72.55199432373047,34.92167282104492,-52.79619216918945,51.76900100708008,-60.467411041259766,67.80327606201172,0.0,0,1,0
8,0.032,0.1208,90.68983459472656,-25.11277198791504,18.48581886291504,15.939472198486328,-53.56199645996094,-62.37178421020508,40.8703727722168,-57.05101013183594,81.03729248046875,22.22955322265625,75.1563949584961,24.677719116210938,63.846500396728516,52.52750778198242,85.24197387695312,-49.693580627441406,-18.361310958862305,56.39129638671875,-8.101161003112793,92.40917205810547,16.365428924560547,0.0,0,1,0
9,0.036,0.1255,-29.116470336914062,-45.640010833740234,-78.40149688720703,67.64151763916016,-87.02220153808594,45.683292388916016,-18.101987838745117,69.83383178710938,-34.074562072753906,20.172704696655273,-95.01868438720703,75.0118179321289,53.70598220825195,-63.94820022583008,-73.17718505859375,-54.16863250732422,78.24183654785156,27.689716339111328,-70.5323715209961,-15.904498100280762,29.912944793701172,0.0,0,1,0
